Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people"
Lake,6.06,7.12,3.93,4.28,8.28,7.89,3344,Filtration,33.6,472,33,44
Well,5.24,7.84,4.79,3.86,15.74,14.68,2122,Boiling,89.54,122,27,8
Pond,0.24,6.43,0.79,3.42,36.67,9.96,2330,None,35.29,274,39,50
Well,7.91,6.71,1.96,3.12,36.92,6.77,3779,Boiling,57.53,3,33,13
Well,0.12,8.16,4.22,9.15,49.35,12.51,4182,Filtration,36.6,466,31,68
Tap,2.93,8.21,4.03,8.66,31.35,16.74,880,None,69.48,258,22,55
River,0.06,6.11,3.12,6.97,44.98,1.23,2977,Boiling,55.43,208,23,90
Spring,3.76,6.42,1.35,9.99,2.73,19.44,1172,None,44.17,397,0,10
Well,0.63,6.29,1.42,9.67,28.31,1.93,159,None,71.66,265,23,29
Well,9.14,6.45,0.62,7.59,45.99,10.23,2493,Chlorination,55.44,261,2,38
Well,4.16,8.43,4.61,6.25,14.36,11.2,2129,Boiling,41.68,286,16,97
River,4.59,7.38,0.86,4.07,7.74,2.76,3078,Chlorination,79.01,30,6,23
Pond,3.5,7.17,2.86,6.61,17.53,18.31,2229,Chlorination,88.58,175,9,79
Lake,6.28,8.46,2.92,4.1,39.61,9.43,2917,Boiling,49.16,8,18,57
Tap,7.84,7.39,1.85,5.79,4.24,2.86,3013,Boiling,43.05,203,23,29
River,6.48,7.65,1.76,9.6,30.02,14.23,1549,Chlorination,35.27,107,8,23
Pond,7.48,6.83,3.34,5.39,6.78,13.27,4573,None,66.95,123,49,66
Well,9.06,6.96,1.94,4.07,21.78,19.26,3385,None,88.19,237,14,28
Pond,8.64,7.49,1.28,7.08,48.3,8.83,1579,Filtration,47.56,409,48,41
River,6.74,6.17,2,7.22,9.76,5.36,3371,None,62.24,129,21,75
River,2.15,6.64,4.04,4.36,1.7,1.2,1960,Boiling,41.26,233,16,61
River,6.38,6.49,4.83,4.38,21.36,14.66,3844,Boiling,58.29,3,18,26
Lake,5.06,6.04,3.18,9.93,28.88,12.35,4697,Filtration,31.08,479,8,28
Spring,7.17,7.34,3.91,4.7,14.88,19.45,2390,Boiling,93.75,219,37,65
Tap,8.33,7.4,2.66,8.87,27.09,14.24,1419,Chlorination,77.36,261,18,56
Lake,7.43,6.96,3.12,6.29,47.67,18.66,3917,Filtration,53.3,29,7,60
Lake,8.47,6.67,4.94,6.04,15.59,19.83,3835,Filtration,91.68,438,5,28
Spring,0.64,7.63,2.19,5.06,15.47,8.57,4428,None,42.81,411,48,56
Lake,0.32,6.34,0.33,8.42,24.14,3.01,4450,None,35.51,316,37,72
River,2.59,7.3,4.79,9.16,25.77,3.92,3630,Chlorination,95.98,76,44,54
River,9.01,7.92,3.97,4.83,0.07,6.37,4942,Chlorination,51.63,182,20,43
Pond,8.24,6.41,1.99,3.67,30.79,10.18,162,None,95.52,365,28,27
Well,6.83,7.88,4.91,3.96,49.87,2.45,115,None,74.63,291,33,36
Lake,7.01,7.9,1.73,8.55,14.6,6.03,1470,Chlorination,98.6,457,11,22
Well,7.27,6.15,1.86,6.05,31.54,6.16,3079,None,82.74,201,38,76
Tap,9.43,6.05,3.05,3.92,0.23,0.08,3852,Filtration,37.38,388,31,68
River,8.32,8.43,1.37,5.38,30.22,7.08,2838,Chlorination,89.66,156,5,95
